X,Y,OBJECTID,Name,Type,Station_ID,Address,City,State,Zip,Municipality,County,Web_URL
2615474.24173898,358131.52709873,94,Upper Salford Fire Co.,Fire,78,782 Old Skippack Rd,Salfordville,PA,18958,Upper Salford,Montgomery,http://uppersalfordfire.org/
2651962.67401131,279050.919184148,95,Washington Fire Co.,Fire,36,36 W Elm St,Conshohocken,PA,19428,Conshohocken,Montgomery,http://www.washies1.org/
2696471.24673939,292813.173811808,96,Weldon Fire Co.,Fire,300,412 Easton Rd,Glenside,PA,19038,Abington,Montgomery,http://weldonfireco.com/
2546854.12963563,340984.863885567,97,West End Fire Co.,Fire,57,112 Rice St,Stowe,PA,19464,West Pottsgrove,Montgomery,http://www.westendfireco.com/news/index/layoutfile/home
2705675.24834447,306470.636654317,98,Willow Grove Fire Co. Main Station,Fire,10A,227 Davisville Rd,Willow Grove,PA,19090,Upper Moreland,Montgomery,http://tiller10.com/
2716162.58006005,316494.814440563,99,Willow Grove Fire Co. Sub-Station,Fire,10B,4355 Davisville Rd,Hatboro,PA,19040,Upper Moreland,Montgomery,http://tiller10.com/
2675921.51716964,310317.311703727,100,Wissahickon Fire Co. Main Station,Fire,7A,245 E Race St,Ambler,PA,19002,Ambler,Montgomery,http://www.station7.org/
2673679.14468589,321519.553078726,101,Wissahickon Fire Co. Sub-Station,Fire,7B,1130 N Bethlehem Pike,Springhouse,PA,19477,Lower Gwynedd,Montgomery,http://www.station7.org/
2638706.08208622,323119.231309816,102,Worcester Fire Co.,Fire,83,1725 Valley Forge Rd,Worcester,PA,19490,Worcester,Montgomery,http://www.worcesterfd.com/
2685471.82451256,283984.151443645,103,Wynmoor Hose Co.,Fire,82,1101 Willow Grove Ave,Wyndmoor,PA,19038,Springfield,Montgomery,http://www.wyndmoorfireco.com/
